l2,l3,latitud,longitud
Bs.As. G.B.A. Zona Norte,Escobar,-34.355244,-58.754129649999996
Bs.As. G.B.A. Zona Norte,General San Martín,-34.563029,-58.5489058
Bs.As. G.B.A. Zona Norte,José C Paz,-34.52001215,-58.756062
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,-34.4877845997,-58.7046291
Bs.As. G.B.A. Zona Norte,Pilar,-34.4382281,-58.8612255
Bs.As. G.B.A. Zona Norte,San Fernando,-34.4456961,-58.555387
Bs.As. G.B.A. Zona Norte,San Isidro,-34.4827313,-58.521938
Bs.As. G.B.A. Zona Norte,San Miguel,-34.547028,-58.7054361
Bs.As. G.B.A. Zona Norte,Tigre,-34.4095857357,-58.648428
Bs.As. G.B.A. Zona Norte,Vicente López,-34.5200814,-58.4892254
Bs.As. G.B.A. Zona Oeste,General Rodríguez,-34.60548782,-58.9337164
Bs.As. G.B.A. Zona Oeste,Hurlingham,-34.59909,-58.639004
Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6469413514,-58.6781512605
Bs.As. G.B.A. Zona Oeste,La Matanza,-34.66394,-58.562248049999994
Bs.As. G.B.A. Zona Oeste,Marcos Paz,-34.7838331,-58.8413184
Bs.As. G.B.A. Zona Oeste,Merlo,-34.67079485915,-58.71538029925
Bs.As. G.B.A. Zona Oeste,Moreno,-34.63434041735,-58.8105717
Bs.As. G.B.A. Zona Oeste,Morón,-34.6504183926,-58.6203546
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.6016052,-58.5609023
Bs.As. G.B.A. Zona Sur,Almirante Brown,-34.8016262,-58.38873945
Bs.As. G.B.A. Zona Sur,Avellaneda,-34.6921091956,-58.3379317
Bs.As. G.B.A. Zona Sur,Berazategui,-34.7945286,-58.1840014458
Bs.As. G.B.A. Zona Sur,Cañuelas,-35.03351255,-58.73700864165
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,-34.86812973,-58.484171
Bs.As. G.B.A. Zona Sur,Ezeiza,-34.8791656,-58.5118302
Bs.As. G.B.A. Zona Sur,Florencio Varela,-34.80838840245,-58.27229409065
Bs.As. G.B.A. Zona Sur,La Plata,-34.918955999999994,-57.963264
Bs.As. G.B.A. Zona Sur,Lanús,-34.7052982375,-58.3956035633
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,-34.7611316,-58.4001126
Bs.As. G.B.A. Zona Sur,Presidente Perón,-34.9340646764,-58.3835310109
Bs.As. G.B.A. Zona Sur,Quilmes,-34.7233994619,-58.2675312147
Bs.As. G.B.A. Zona Sur,San Vicente,-34.9954834,-58.4371935
Capital Federal,Abasto,-34.6038897,-58.4109982
Capital Federal,Agronomía,-34.59480613,-58.4895338381
Capital Federal,Almagro,-34.6046056132,-58.4210364
Capital Federal,Balvanera,-34.6108151,-58.4030499
Capital Federal,Barracas,-34.6365918,-58.3745089
Capital Federal,Barrio Norte,-34.593773,-58.404093
Capital Federal,Belgrano,-34.5628978,-58.453674
Capital Federal,Boca,-34.6337851,-58.3631337
Capital Federal,Boedo,-34.6263075,-58.4186335
Capital Federal,Caballito,-34.61742401,-58.4421132
Capital Federal,Catalinas,-34.599196,-58.372566
Capital Federal,Centro / Microcentro,-34.6036795,-58.3794834
Capital Federal,Chacarita,-34.588234,-58.449353
Capital Federal,Coghlan,-34.5609681,-58.4750586
Capital Federal,Colegiales,-34.5791632,-58.4553959
